Validation_Set,Topics,Alpha,Beta,Coherence
80% Corpus,5,0.5,0.5,0.4095871959285108
80% Corpus,5,0.5,0.6,0.4139154056817206
80% Corpus,5,0.5,0.7,0.40301187141785677
80% Corpus,5,0.5,0.7999999999999999,0.4383060014452475
80% Corpus,5,0.5,0.8999999999999999,0.45182464254589333
80% Corpus,5,0.5,symmetric,0.37205235527048985
80% Corpus,5,0.6,0.5,0.3924125389166327
80% Corpus,5,0.6,0.6,0.4228127192911552
80% Corpus,5,0.6,0.7,0.4309498114083983
80% Corpus,5,0.6,0.7999999999999999,0.4128009481067768
80% Corpus,5,0.6,0.8999999999999999,0.45980317229135526
80% Corpus,5,0.6,symmetric,0.36031887415912334
80% Corpus,5,0.7,0.5,0.4035542179938549
80% Corpus,5,0.7,0.6,0.41677520562948445
80% Corpus,5,0.7,0.7,0.4432117344373818
80% Corpus,5,0.7,0.7999999999999999,0.4089737925391267
80% Corpus,5,0.7,0.8999999999999999,0.45794641216191845
80% Corpus,5,0.7,symmetric,0.37603203709284444
80% Corpus,5,0.7999999999999999,0.5,0.4018246063906875
80% Corpus,5,0.7999999999999999,0.6,0.41321447265534295
80% Corpus,5,0.7999999999999999,0.7,0.42845567513517296
80% Corpus,5,0.7999999999999999,0.7999999999999999,0.40967555540861084
80% Corpus,5,0.7999999999999999,0.8999999999999999,0.47046545459347333
80% Corpus,5,0.7999999999999999,symmetric,0.3636518797409204
80% Corpus,5,0.8999999999999999,0.5,0.38646582785545175
80% Corpus,5,0.8999999999999999,0.6,0.41006427118587163
80% Corpus,5,0.8999999999999999,0.7,0.42570772174559446
80% Corpus,5,0.8999999999999999,0.7999999999999999,0.44294569171099524
80% Corpus,5,0.8999999999999999,0.8999999999999999,0.43772321297594363
80% Corpus,5,0.8999999999999999,symmetric,0.3662118266291997
80% Corpus,5,symmetric,0.5,0.39649839261117237
80% Corpus,5,symmetric,0.6,0.40608339741394256
80% Corpus,5,symmetric,0.7,0.40894284505910117
80% Corpus,5,symmetric,0.7999999999999999,0.4349447802902665
80% Corpus,5,symmetric,0.8999999999999999,0.46066449528592573
80% Corpus,5,symmetric,symmetric,0.3763125560807892
80% Corpus,5,asymmetric,0.5,0.38608796919206806
80% Corpus,5,asymmetric,0.6,0.37162530533380245
80% Corpus,5,asymmetric,0.7,0.4248188313466086
